threshold,roc_auc,pr_auc,f1_balanced,sensitivity,specificity,mcc,panel,n,n_shared,n_nonshared,raw_f1
0.365,0.9402116402116403,0.9499011241524817,0.8412017167381974,0.9333333333333333,0.7142857142857141,0.663738488026576,CFTR,111,77,34,0.9333333333333333
0.365,0.7720083246618114,0.7478749325534519,0.7388535031847122,0.9354838709677422,0.40322580645161293,0.4000907338108522,PAH,372,255,117,0.9105180533751962
0.365,0.9140547263681592,0.9085595225997861,0.8017683110619913,0.9925373134328358,0.5166666666666658,0.578959788132023,KANSER,388,246,142,0.8986486486486487
