fold,best_iteration,roc_auc,pr_auc,log_loss,brier_score,f1,sensitivity,specificity,mcc,balanced_accuracy
1,90,0.8608946822692934,0.9349702503865284,0.3948344785067335,0.12403952053613806,0.8758782201405152,0.8697674418604651,0.6815286624203821,0.5448691849002342,0.7756480521404236
2,101,0.8423225998807394,0.9264671539834392,0.4126045654385189,0.12875619533538446,0.8736964078794901,0.8767441860465116,0.6410256410256411,0.5210070521699721,0.7588849135360763
3,59,0.851885807990459,0.9317905948415605,0.4162074260306581,0.13198524781738105,0.8790697674418605,0.8790697674418605,0.6666666666666666,0.5457364341085271,0.7728682170542636
4,83,0.8553518187239119,0.9265817551391418,0.3949463877397623,0.123013465646746,0.8736717827626919,0.8604651162790697,0.6987179487179487,0.5455557750196226,0.7795915324985092
5,52,0.8222499368996183,0.9035316696386024,0.44487058649474787,0.13955960320439198,0.863961813842482,0.8438228438228438,0.7006369426751592,0.5251652649714709,0.7722298932490015
