panel,n,n_shared,n_nonshared,pathogenic_rate,roc_auc,pr_auc,f1_at_05,sensitivity_at_05,specificity_at_05,mcc_at_05,optimal_threshold,f1_at_optimal,sensitivity_at_optimal,specificity_at_optimal
CFTR,111,77,34,0.8108108108108109,0.9402116402116402,0.9856929551839506,0.9371428571428572,0.9111111111111111,0.8571428571428571,0.7104599115571241,0.4131754355541591,0.9438202247191011,0.9333333333333333,0.8095238095238095
PAH,372,255,117,0.8333333333333334,0.7720083246618106,0.9336102823947569,0.8892508143322475,0.8806451612903226,0.5,0.3670335438226616,0.20456086088922634,0.9282442748091603,0.9806451612903225,0.3387096774193548
KANSER,388,246,142,0.6907216494845361,0.9140547263681592,0.954670103417463,0.9055258467023173,0.9477611940298507,0.675,0.6693972900731244,0.4663125635016083,0.9103690685413005,0.9664179104477612,0.65
