strategy,threshold,sensitivity,specificity,f1,mcc,precision,balanced_accuracy
default_05,0.5,0.8659841786877618,0.6777493606138107,0.8732989206945097,0.5361438226301268,,
best_f1,0.3338888961893093,0.9562587249883667,0.4948849104859335,0.8936725375081539,0.5387420057400346,0.8387755102040816,0.7255718177371502
sensitivity_95,0.3585166030756369,0.9502093997208003,0.5140664961636828,0.8934587617589149,0.5420654913999942,0.8431048720066061,0.7321379479422416
youden_j,0.5963139044501752,0.8287575616565844,0.7289002557544757,0.8599710284886528,0.5287304352670469,0.8936276969392875,0.77882890870553
best_mcc,0.3699999999999999,0.947417403443462,0.520460358056266,0.8929824561403509,0.5416936076937583,0.8444628784736624,0.733938880749864
