feature,importance_gain,importance_split,rank_gain,rank_split,category
miss_AL_326,0.0,0.0,457,581,missingness_indicator
miss_AL_333,0.0,0.0,458,580,missingness_indicator
miss_AL_331,0.0,0.0,459,579,missingness_indicator
miss_AL_330,0.0,0.0,460,578,missingness_indicator
miss_AL_329,0.0,0.0,461,577,missingness_indicator
miss_AL_328,0.0,0.0,462,576,missingness_indicator
miss_AL_327,0.0,0.0,463,575,missingness_indicator
miss_AL_211,0.0,0.0,464,592,missingness_indicator
miss_AL_112,0.0,0.0,465,574,missingness_indicator
miss_AL_209,0.0,0.0,466,593,missingness_indicator
miss_AL_46,0.0,0.0,467,595,missingness_indicator
miss_AL_55,0.0,0.0,468,612,missingness_indicator
miss_AL_54,0.0,0.0,469,611,missingness_indicator
miss_AL_53,0.0,0.0,470,610,missingness_indicator
miss_AL_52,0.0,0.0,471,609,missingness_indicator
miss_AL_51,0.0,0.0,472,608,missingness_indicator
miss_AL_50,0.0,0.0,473,607,missingness_indicator
miss_AL_49,0.0,0.0,474,606,missingness_indicator
miss_AL_48,0.0,0.0,475,605,missingness_indicator
miss_AL_47,0.0,0.0,476,604,missingness_indicator
miss_AL_45,0.0,0.0,477,603,missingness_indicator
miss_AL_57,0.0,0.0,478,602,missingness_indicator
miss_AL_44,0.0,0.0,479,601,missingness_indicator
miss_AL_43,0.0,0.0,480,600,missingness_indicator
miss_AL_41,0.0,0.0,481,599,missingness_indicator
miss_AL_40,0.0,0.0,482,598,missingness_indicator
miss_AL_38,0.0,0.0,483,597,missingness_indicator
miss_AL_37,0.0,0.0,484,596,missingness_indicator
miss_AL_36,0.0,0.0,485,499,missingness_indicator
miss_AL_35,0.0,0.0,486,488,missingness_indicator
miss_AL_34,0.0,0.0,487,473,missingness_indicator
miss_AL_56,0.0,0.0,488,486,missingness_indicator
miss_AL_58,0.0,0.0,489,379,missingness_indicator
miss_AL_32,0.0,0.0,490,378,missingness_indicator
miss_AL_70,0.0,0.0,491,377,missingness_indicator
miss_AL_79,0.0,0.0,492,376,missingness_indicator
miss_AL_78,0.0,0.0,493,375,missingness_indicator
miss_AL_77,0.0,0.0,494,360,missingness_indicator
miss_AL_76,0.0,0.0,495,373,missingness_indicator
miss_AL_75,0.0,0.0,496,372,missingness_indicator
miss_AL_74,0.0,0.0,497,371,missingness_indicator
miss_AL_73,0.0,0.0,498,370,missingness_indicator
miss_AL_72,0.0,0.0,499,369,missingness_indicator
miss_AL_71,0.0,0.0,500,368,missingness_indicator
miss_AL_69,0.0,0.0,501,367,missingness_indicator
miss_AL_59,0.0,0.0,502,366,missingness_indicator
miss_AL_68,0.0,0.0,503,365,missingness_indicator
miss_AL_67,0.0,0.0,504,364,missingness_indicator
miss_AL_66,0.0,0.0,505,363,missingness_indicator
miss_AL_65,0.0,0.0,506,380,missingness_indicator
miss_AL_64,0.0,0.0,507,362,missingness_indicator
miss_AL_63,0.0,0.0,508,381,missingness_indicator
miss_AL_62,0.0,0.0,509,383,missingness_indicator
miss_AL_61,0.0,0.0,510,400,missingness_indicator
miss_AL_60,0.0,0.0,511,399,missingness_indicator
miss_AL_33,0.0,0.0,512,398,missingness_indicator
miss_AL_31,0.0,0.0,513,397,missingness_indicator
miss_AL_207,0.0,0.0,514,396,missingness_indicator
miss_AL_5,0.0,0.0,516,394,missingness_indicator
miss_AL_4,0.0,0.0,517,393,missingness_indicator
miss_AL_3,0.0,0.0,518,392,missingness_indicator
miss_AL_2,0.0,0.0,519,391,missingness_indicator
miss_AL_1,0.0,0.0,520,390,missingness_indicator
miss_AL_7,0.0,0.0,526,384,missingness_indicator
miss_AL_6,0.0,0.0,536,327,missingness_indicator
miss_AL_8,0.0,0.0,537,331,missingness_indicator
miss_AL_30,0.0,0.0,538,330,missingness_indicator
miss_AL_20,0.0,0.0,539,329,missingness_indicator
miss_AL_29,0.0,0.0,540,328,missingness_indicator
miss_AL_28,0.0,0.0,541,326,missingness_indicator
miss_AL_27,0.0,0.0,542,325,missingness_indicator
miss_AL_26,0.0,0.0,543,324,missingness_indicator
miss_AL_25,0.0,0.0,544,323,missingness_indicator
miss_AL_24,0.0,0.0,545,322,missingness_indicator
miss_AL_23,0.0,0.0,546,321,missingness_indicator
miss_AL_22,0.0,0.0,547,320,missingness_indicator
miss_AL_21,0.0,0.0,548,319,missingness_indicator
miss_AL_19,0.0,0.0,549,338,missingness_indicator
miss_AL_9,0.0,0.0,550,332,missingness_indicator
miss_AL_18,0.0,0.0,551,340,missingness_indicator
miss_AL_17,0.0,0.0,552,341,missingness_indicator
miss_AL_16,0.0,0.0,553,358,missingness_indicator
miss_AL_15,0.0,0.0,554,357,missingness_indicator
miss_AL_14,0.0,0.0,555,339,missingness_indicator
miss_AL_13,0.0,0.0,556,356,missingness_indicator
miss_AL_12,0.0,0.0,557,355,missingness_indicator
miss_AL_11,0.0,0.0,558,354,missingness_indicator
miss_AL_10,0.0,0.0,559,353,missingness_indicator
miss_AL_81,0.0,0.0,560,352,missingness_indicator
miss_AL_82,0.0,0.0,561,351,missingness_indicator
miss_AL_83,0.0,0.0,562,350,missingness_indicator
miss_AL_162,0.0,0.0,563,349,missingness_indicator
miss_AL_175,0.0,0.0,564,348,missingness_indicator
miss_AL_174,0.0,0.0,565,347,missingness_indicator
miss_AL_172,0.0,0.0,566,346,missingness_indicator
